Date,Description,Amount
Jun 5 2026,TST*SHANGHAI BISTRO Eau Claire WI,$47.17 
Jun 5 2026,KWIK TRIP #633 EAU CLAIRE WI,$68.07 
Jun 3 2026,WALMART.COM 800-966-6546 BENTONVILLE AR,$42.44 
Jun 27 2026,Automatic Payment,$12.33 
May 31 2026,ALDI 72053 EAU CLAIRE WI,$198.15 
May 30 2026,PY *COUSINS MAINE LOBS GLENDALE CA,$74.71 
May 30 2026,KWIK TRIP #201 EAU CLAIRE WI,$23.86 
May 29 2026,KOBE'S JAPANESE RESTAU EAU CLAIRE WI,$26.11 
May 29 2026,PANDA EXPRESS #3445 EAU CLAIRE WI,$16.99 
May 28 2026,JEWELERS-MUTUAL-PMNT NEENAH WI,$89.00 
May 28 2026,KWIK TRIP #472 EAU CLAIRE WI,$61.89 
May 27 2026,SPECTRUM MOBILE SAINT LOUIS MO,$20.27 
May 27 2026,SUBWAY 43003 EAU CLAIRE WI,$21.28 
May 27 2026,CULVERS EAU CLAIRE-GOL EAU CLAIRE WI,$16.23 
May 24 2026,ALDI 72053 EAU CLAIRE WI,$72.28 
May 24 2026,BURR STORE 104 EAU CLAIRE WI,$24.98 
May 24 2026,BURR STORE 104 EAU CLAIRE WI,$6.16 
May 24 2026,SAM'S CLUB 008185 EAU CLAIRE WI SAM'S/WAL-MART PURCHASE(S),$87.75 
May 23 2026,WEAVER'S COUNTRY STORE FALL CREEK WI,$73.77 
May 22 2026,SPECTRUM SAINT LOUIS MO,$55.00 
May 22 2026,SQ *BUGGSYS BARBERSHOP EAU CLAIRE WI,$50.00 
May 22 2026,KOBE'S JAPANESE RESTAU EAU CLAIRE WI,$39.16 
May 22 2026,TARGET.COM BROOKLYN PARKMN,$7.81 
May 21 2026,JACOBSONS MARKET EAU CLAIRE WI,$22.09 
May 21 2026,WALGREENS #1937 EAU CLAIRE WI,$4.03 
May 21 2026,FESTIVAL FOODS EAU CLAIRE WI,$35.40 
May 20 2026,EAU CLAIRE AREA SCHOOL EAU CLAIRE WI,$20.00 
May 20 2026,KWIK TRIP #472 EAU CLAIRE WI,$66.31 
May 20 2026,KWIK TRIP #472 EAU CLAIRE WI,$29.56 
May 19 2026,TARGET.COM BROOKLYN PARKMN,$72.64 
May 19 2026,TARGET.COM BROOKLYN PARKMN,$5.45 
May 18 2026,PAYMENT,"($1,718.67)"
May 17 2026,TARGET FIELD CONCESSIO MINNEAPOLIS MN,$25.23 
May 17 2026,CULVERS OF HUDSON HUDSON WI,$33.93 
May 16 2026,KWIK TRIP #1162 EAU CLAIRE WI,$24.24 
May 16 2026,KWIK TRIP #1162 EAU CLAIRE WI,$11.47 
May 16 2026,WALMART 001669 EAU CLAIRE WI SAM'S/WAL-MART PURCHASE(S),$56.64 
May 16 2026,WALMART.COM 800-966-6546 BENTONVILLE AR,$139.82 
May 15 2026,LAMBEAUFIELDCONCESSION GREEN BAY WI,$19.40 
May 14 2026,WALGREENS #1937 EAU CLAIRE WI,$7.55 
May 13 2026,CIRCLE K #2746577 EAU CLAIRE WI,$11.00 
May 13 2026,DAIRY QUEEN #43616 EAU CLAIRE WI,$24.75 
May 13 2026,KWIK TRIP #633 EAU CLAIRE WI,$52.27 
May 12 2026,FESTIVAL FOODS EAU CLAIRE WI,$56.31 
May 12 2026,DISNEY PLUS 8889057888 CA,$13.70 
May 12 2026,CHEWY.COM 7863207111 FL,$28.33 
May 11 2026,KWIK TRIP #1162 EAU CLAIRE WI,$30.47 
May 10 2026,ALDI 72005 CHIPPEWA FALLWI,$125.04 
May 10 2026,YOUR.SMARTY-ME AFTON WY,$6.93 
May 10 2026,HY-VEE EAU CLAIRE 1166 EAU CLAIRE WI,$4.22 
May 9 2026,PANERA BREAD #606376 O EAU CLAIRE WI,$23.26 
